stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
P-522,,El Tejar esq. Pje. Dos,,-36.617891,-72.119504,,,,,
P-912,,Zañartu esq. Veintiuno de Mayo,,-36.608268,-72.143572,,,,,
P-209,,Av. El Tejar esq. Cuatro Sur,,-36.617894,-72.122905,,,,,
P-780,,Panamericana Sur esq. Ruta N-50,,-36.526544,-72.068436,,,,,
P-762,,Nicolás de la Cruz esq. Aguistín de Eyzaguirre,,-36.628413,-72.110694,,,,,
P-554,,Flores Millán esq. La Espiga,,-36.588297,-72.085515,,,,,
L10,,Terminal L10,,-36.631735,-72.035128,,,,,
P-890,,Tres Oriente esq. Pje. Sur,,-36.616931,-72.094045,,,,,
P-100,,Av. Antartica Chilena esq. Bío-Bío,,-36.609104,-72.140663,,,,,
P-223,,Av. La Castilla esq. Liceo Martin Ruiz De Gamboa,,-36.612411,-72.115756,,,,,
P-446,,Cerro Santa Lucía esq. Cerro Termas de Chillán,,-36.616332,-72.0741,,,,,
P-192,,Av. Ecuador esq. 24 De Enero,,-36.597863,-72.108124,,,,,
P-574,,Gamero esq. Arauco,,-36.602632,-72.10055,,,,,
P-758,,Mario Vergara esq. Pasaje 8,,-36.61173,-72.087596,,,,,
P-770,,Orizimbo Barboza esq. General Velasquez,,-36.619564,-72.123849,,,,,
P-92,,Av. Andrés Bello esq. María Elena,,-36.603421,-72.079221,,,,,
P-217,,Av. Inglaterra esq. Av. Los Puelches,,-36.616256,-72.085974,,,,,
P-714,,Los Puelches esq. Persa San Rafael,,-36.624697,-72.087328,,,,,
P-307,,Av. Vicente Méndez esq. Chacabuco,,-36.601541,-72.090186,,,,,
P-3,,18 De Septiembre esq. Bulnes,,-36.605474,-72.10366,,,,,
P-44,,Ángol esq. San Nicolás,,-36.627011,-72.076103,,,,,
P-439,,Cerro León esq. Cerro Posada,,-36.612208,-72.069848,,,,,
P-133,,Av. Baquedano esq. Orozimbo Barboza,,-36.636127,-72.128278,,,,,
P-118,,Av. Argentina esq. Maipon,,-36.611961,-72.094543,,,,,
P-79,,Av. Alonso de Ercilla esq. Los Tulipanes,,-36.625706,-72.079718,,,,,
P-870,,Sepúlveda Bustos esq. Atacama,,-36.604365,-72.125882,,,,,
P-152,,Av. Brasil esq. Arturo Prat,,-36.608061,-72.113401,,,,,
P-375,,Camino A Las Mariposas esq. Los Montes,,-36.635315,-72.008926,,,,,
P-526,,Emmanuel esq. Av. Andres Bello,,-36.589594,-72.068922,,,,,
P-42,,Ángol esq. Pje. Los Lirios,,-36.628603,-72.076463,,,,,
P-601,,Independencia esq. Constitucion,,-36.609484,-72.096963,,,,,
P-422,,Central esq. Seis Poniente,,-36.615913,-72.123286,,,,,
P-608,,Isabel Riquelme esq. Cft Santo Tomas,,-36.607596,-72.099581,,,,,
P-804,,Real Audiencia esq. Isla Guar,,-36.614877,-72.131605,,,,,
P-287,,Av. Nueva Oriente esq. El Volcán,,-36.621363,-72.077694,,,,,
P-219,,Av. La Castilla esq. Dos Poniente,,-36.610327,-72.123453,,,,,
P-62,,Av. Alonso De Ercilla esq. Colegio Ciudad Educativa,,-36.62833,-72.057273,,,,,
P-302,,Av. Reino de Chile esq. Los Espinos,,-36.630461,-72.10389,,,,,
P-848,,Ruta N66 esq. Villa Esperanza,,-36.611822,-72.172717,,,,,
P-665,,Loma Blanca esq. Atacalco,,-36.626597,-72.069755,,,,,
P-383,,Camino A Las Mariposas esq. Pje. Super Bom,,-36.640296,-71.991257,,,,,
P-892,,Variante Collin esq. Almirante Latorre,,-36.618629,-72.095666,,,,,
P-86,,Av. Alonso De Ercilla esq. Pje. El Sauce,,-36.628821,-72.05429,,,,,
P-596,,Huambali esq. Rosauro Acuña,,-36.619955,-72.105406,,,,,
P-790,,Pedro Aguirre Cerda esq. Schleyer,,-36.615582,-72.108171,,,,,
P-826,,Rosauro Acuña esq. Las Canoas,,-36.621099,-72.11568,,,,,
P-498,,Demetrio O'Higgins Puga esq. Los Espinos,,-36.628941,-72.103741,,,,,
P-560,,Francia esq. Diego de Almagro,,-36.59568,-72.10208,,,,,
P-388,,Camino a San Bernardo esq. Cerro Constancia,,-36.607621,-72.071477,,,,,
P-215,,Av. Francia esq. Porvenir,,-36.595483,-72.101997,,,,,
P-551,,Flores Millán esq. Camilo Mori,,-36.587808,-72.084958,,,,,
P-906,,Zañartu esq. Linares,,-36.607043,-72.135861,,,,,
P-405,,Camino Nuevo esq. Central,,-36.632876,-72.084478,,,,,
P-620,,Juan de Dios Olivares esq. Chorrillos,,-36.604446,-72.090027,,,,,
P-657,,Lautaro esq. Los Huilliches,,-36.628659,-72.087313,,,,,
P-823,,Rosauro Acuña esq. Av. Libertad,,-36.620196,-72.118943,,,,,
P-907,,Zañartu esq. Lord Cochrane,,-36.608648,-72.146083,,,,,
P-647,,Las Rosas esq. Pje. Tres,,-36.594994,-72.11303,,,,,
P-658,,Lautaro esq. Los Sauces,,-36.628913,-72.089199,,,,,
P-832,,Rosauro Acuña esq. Santa Maria,,-36.620296,-72.107281,,,,,
P-566,,Fray Domingo de Guzmán esq. San Francisco Coll,,-36.605467,-72.064906,,,,,
P-294,,Av. Nueva Poniente esq. Parque Nacional Fray Jorge,,-36.589932,-72.118982,,,,,
P-504,,Diego Portales esq. Av. Coihueco,,-36.607533,-72.088212,,,,,
P-398,,Camino Las Mariposas esq. El Jardín,,-36.630577,-72.043426,,,,,
P-484,,Cordillera esq. La Quebrada,,-36.619547,-72.080772,,,,,
P-645,,Las Rosas esq. Los Picunches,,-36.610728,-72.082349,,,,,
P-642,,Las Rosas esq. Calle Arboleda,,-36.594168,-72.112412,,,,,
P-284,,Av. Nueva Oriente esq. Cerro Roble,,-36.617918,-72.07662,,,,,
P-505,,Diego Portales esq. Chorrillos,,-36.607439,-72.090264,,,,,
P-117,,Av. Argentina esq. Libertad,,-36.60824,-72.093088,,,,,
P-320,,Barcelona esq. Av. Andrés Bello,,-36.591552,-72.068659,,,,,
P-326,,Barros Arana esq. Dos Sur,,-36.624764,-72.098654,,,,,
P-78,,Av. Alonso De Ercilla esq. Los Puelches,,-36.625101,-72.086814,,,,,
P-723,,Luis Araneda esq. Pasaje Humanidad,,-36.628118,-72.137759,,,,,
P-568,,Galvarino esq. Caupolicán,,-36.625307,-72.096041,,,,,
P-702,,Los Huilliches esq. Los Tolomiros,,-36.628388,-72.084361,,,,,
P-156,,Av. Brasil esq. Constitucion,,-36.605467,-72.112003,,,,,
P-863,,San Luis Beltrán esq. Santa Catalina de Ricci,,-36.605683,-72.061962,,,,,
P-124,,Av. Baquedano esq. 25 de Septiembre,,-36.62986,-72.124916,,,,,
P-828,,Rosauro Acuña esq. Palermo,,-36.620644,-72.11039,,,,,
P-711,,Los Puelches esq. Cordillera,,-36.61853,-72.085531,,,,,
P-893,,Variante Collin esq. Barros Arana,,-36.61888,-72.095389,,,,,
P-356,,Calle Los Pidenes esq. Calle Reino de Chile,,-36.628671,-72.11698,,,,,
P-116,,Av. Argentina esq. Las Acacias,,-36.611612,-72.094081,,,,,
P-179,,Av. Coihueco esq. Chacabuco,,-36.604839,-72.081881,,,,,
P-507,,Eduardo Parra esq. Ejercito de Chile,,-36.60589,-72.116484,,,,,
P-524,,El Volcán esq. Monterrico,,-36.620596,-72.079158,,,,,
P-816,,Río Viejo esq. Los Pehuenches,,-36.630457,-72.090542,,,,,
P-882,,Superintendente Enrique Torres esq. Vicesuperintendente Baldini,,-36.591323,-72.113954,,,,,
P-914,,Camino Parque Lantaño esq. Caletera,,-36.589765,-72.125442,,,,,
P-766,,Nueva Sur esq. Los Nardos,,-36.630034,-72.099077,,,,,
P-377,,Camino A Las Mariposas esq. Pje. La Cabaña,,-36.634247,-72.015141,,,,,
P-837,,Ruta N-515 esq. Santa Catalina de Siena,,-36.609438,-72.064997,,,,,
P-741,,Maipon esq. Banco Estado,,-36.610846,-72.099824,,,,,
P-609,,Isabel Riquelme esq. Cocharcas,,-36.612914,-72.101574,,,,,
P-194,,Av. Ecuador esq. Arauco,,-36.599957,-72.100641,,,,,
P-840,,Ruta N66 esq. Los Alerces,,-36.609666,-72.242059,,,,,
P-280,,Av. Mariscal Ruíz esq. Luis del Fierro,,-36.605736,-72.121473,,,,,
P-238,,Av. Libertadior O'Higgins esq. Motel,,-36.577446,-72.100475,,,,,
P-381,,Camino A Las Mariposas esq. Pje. Rosa Ester,,-36.629355,-72.051579,,,,,
P-700,,Los Huilliches esq. Los Cipreses,,-36.628536,-72.087353,,,,,
P-686,,Los Andes esq. Volcan Nahuelbuta,,-36.622136,-72.083727,,,,,
P-452,,Cerro Torres del Paine esq. Cerro Santa Lucía,,-36.614985,-72.074618,,,,,
P-385,,Camino A Las Mariposas esq. U. Adventista De Chile,,-36.638546,-71.996898,,,,,
P-154,,Av. Brasil esq. Bulnes,,-36.603296,-72.111158,,,,,
P-542,,Esmeralda esq. Vicuña Mackenna,,-36.61882,-72.09193,,,,,
P-710,,Los Puelches esq. Alonso De Ercilla,,-36.624751,-72.087464,,,,,
P-773,,Pablo Neruda esq. Ñuble,,-36.53926,-72.08393,,,,,
P-537,,Erasmo Escala esq. Marchant,,-36.620781,-72.125702,,,,,
P-876,,Simón Bolivar esq. Colchagua,,-36.608606,-72.131545,,,,,
P-737,,Maipon esq. 18 De Septiembre,,-36.609567,-72.105108,,,,,
P-327,,Barros Arana esq. Eduardo Ossandon,,-36.635161,-72.101821,,,,,
P-674,,Longitudinal Sur esq. Pedro San Martin,,-36.595863,-72.105044,,,,,
P-96,,Av. Antartica Chilena esq. 21 De Mayo,,-36.609693,-72.144386,,,,,
P-518,,El Roble esq. Isabel Riquelme,,-36.609676,-72.099533,,,,,
P-532,,Erasmo Escala esq. Cornelia Olivares,,-36.632309,-72.128721,,,,,
P-76,,Av. Alonso De Ercilla esq. Los Cerezos,,-36.625321,-72.083783,,,,,
P-228,,Av. La Castilla esq. Universidad Del Bio-Bio,,-36.612026,-72.119457,,,,,
P-703,,Los Mapuches esq. Av. Alonso De Ercilla,,-36.625934,-72.083284,,,,,
P-271,,Av. Mariscal Ruiz De Gamboa esq. Cuatro Sur,,-36.615246,-72.129114,,,,,
P-369,,Camino A Las Mariposas esq. Km 4.5,,-36.634755,-72.012146,,,,,
P-619,,Juan de Dios Olivares esq. Av. La Concepción,,-36.604706,-72.088633,,,,,
P-231,,Av. Libertad esq. 5 De Abril,,-36.606551,-72.10134,,,,,
P-249,,Av. Libertador O'Higgins esq. Cocharcas,,-36.610305,-72.110656,,,,,
P-362,,Camino A Las Mariposas esq. Colegio Camilo Henriquez,,-36.634215,-72.017629,,,,,
P-198,,Av. Ecuador esq. Av. O'Higgins,,-36.5981769,-72.107812,,,,,
P-885,,Tarapacá esq. Av. Antártica Chilena,,-36.605777,-72.124612,,,,,
P-428,,Central Panificadores esq. Cerro Aracar,,-36.614872,-72.071828,,,,,
P-599,,Huape salida,,-36.60947,-72.269047,,,,,
P-165,,Av. Brasil esq. Vega De Saldias,,-36.601884,-72.110632,,,,,
P-64,,Av. Alonso de Ercilla esq. El Almendral,,-36.62705,-72.063086,,,,,
P-65,,Av. Alonso de Ercilla esq. El Campo,,-36.630766,-72.042756,,,,,
P-10,,20 de agosto esq. Domingo Ortiz,,-36.617048,-72.130997,,,,,
P-728,,Luis Araneda esq. Virrey Don Ambrosio,,-36.620819,-72.135173,,,,,
P-248,,Av. Libertador O'Higgins esq. Coca cola,,-36.564672,-72.096501,,,,,
P-509,,Eduardo Parra Sandoval esq. Vera Suárez,,-36.605018,-72.119492,,,,,
P-137,,Av. Baquedano esq. Supermercado Santa Rita,,-36.638303,-72.131665,,,,,
P-495,,Del Rosario esq. Solidaridad,,-36.629131,-72.136503,,,,,
P-213,,Av. España esq. Uno Norte,,-36.615207,-72.087333,,,,,
P-871,,Sepulveda Bustos esq. Cementerio Municipal,,-36.604269,-72.124647,,,,,
P-196,,Av. Ecuador esq. Av. Argentina,,-36.602175,-72.091617,,,,,
P-627,,Lago Lanalhue esq. Av. Santa Rufina,,-36.613123,-72.077387,,,,,
P-21,,5 De Abril esq. Maipon,,-36.610884,-72.102322,,,,,
P-693,,Los Copihues esq. Madrid,,-36.626609,-72.107991,,,,,
P-189,,Av. Collin esq. Isabel Riquelme,,-36.615762,-72.101733,,,,,
P-547,,Eulogio Bañares esq. Juan José Gazmuri,,-36.619857,-72.115634,,,,,
P-264,,Av. Los Puelches esq. Los Juncos,,-36.610929,-72.082241,,,,,
P-93,,Av. Andrés Bello esq. Museo Marta Colvin,,-36.599714,-72.076357,,,,,
P-515,,El Nevado esq. Quinchamalí,,-36.606497,-72.079681,,,,,
P-325,,Barros Arana esq. Crisantemos,,-36.633207,-72.101302,,,,,
P-729,,Luis Arellano esq. Av. Real Audiencia,,-36.61398,-72.133158,,,,,
P-606,,Isabel Riquelme esq. Av. Libertad,,-36.606467,-72.099112,,,,,
P-306,,Av. Vicente Mendez esq. Calle Republica,,-36.599826,-72.089251,,,,,
P-541,,Esmeralda esq. Monterrico,,-36.621886,-72.078315,,,,,
P-615,,Jerusalén esq. Betel,,-36.636455,-72.088676,,,,,
P-11,,20 de agosto esq. General Velásquez,,-36.619087,-72.131633,,,,,
P-468,,Conde del Maule esq. Erasmo Escala,,-36.627831,-72.127843,,,,,
P-7,,20 de agosto esq. Conde del Maule,,-36.626481,-72.133543,,,,,
P-874,,Siete Sur esq. Los Espinos,,-36.626752,-72.101491,,,,,
